spec,pos,rID,sID,label,split,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Spectral_Contrast_1,Spectral_Contrast_2,Spectral_Contrast_3,Spectral_Contrast_4,Spectral_Contrast_5,Spectral_Contrast_6,Spectral_Contrast_7,Chroma_STFT_1,Chroma_STFT_2,Chroma_STFT_3,Chroma_STFT_4,Chroma_STFT_5,Chroma_STFT_6,Chroma_STFT_7,Chroma_STFT_8,Chroma_STFT_9,Chroma_STFT_10,Chroma_STFT_11,Chroma_STFT_12,Chroma_CENS_1,Chroma_CENS_2,Chroma_CENS_3,Chroma_CENS_4,Chroma_CENS_5,Chroma_CENS_6,Chroma_CENS_7,Chroma_CENS_8,Chroma_CENS_9,Chroma_CENS_10,Chroma_CENS_11,Chroma_CENS_12,Zero_Crossing_Rate,RMS_Energy,Delta_MFCC_1,Delta_MFCC_2,Delta_MFCC_3,Delta_MFCC_4,Delta_MFCC_5,Delta_MFCC_6,Delta_MFCC_7,Delta_MFCC_8,Delta_MFCC_9,Delta_MFCC_10,Delta_MFCC_11,Delta_MFCC_12,Delta_MFCC_13,mID_count,source_file_count,path,fn,mID,time
Z01,Pos02,00001,Ch1,1,train,-646.1558142960606,-20.895457057726986,-100.2900602887709,1.9992734691310008,42.29067214001786,-2.6689570643257605,-11.923319521543434,0.0866032417452501,-3.8829157758947814,-11.60615020261881,-5.556410648643985,4.527791119420238,-10.811466081798802,121566.36798972488,135446.13169958052,267506.64735095575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4902291540012552,0.562104478018555,0.51618315346955,0.4591347204854321,0.6734240204450301,0.7945453676937541,0.5084890293629897,0.5230932471970213,0.5379582613173955,0.5800713702436225,0.8521021017212224,0.5461014024134978,0.34673584921764256,0.33340329183048534,0.4109561330695167,0.2392911139747989,0.2392911139747989,0.261128866255471,0.29359199168888245,0.23089809671412348,0.2331743643488084,0.256137191731446,0.2392911139747989,0.2392911139747989,0.06639108009708737,0.017566495202481748,-2.0597532359774964,0.5450294287746001,1.787260383248713,-0.6353498741169525,-0.2715539935708392,-0.09903317733753325,-0.04363702334987257,0.2055508977870133,0.015723970068382036,0.09980448525099873,-0.1468306880566317,-0.10364519232029892,0.1536185439564,5,5,features_averaged_over_mid,Z01_Pos02_avgFeatures_00001_Ch1,mean,mean
Z01,Pos02,00001,Ch2,1,train,-630.2825655958454,-26.482767017542454,-103.32637294293973,7.3537458452357924,39.197879315701094,-6.4551921528692855,-3.4013221244291785,-1.3822193589178822,-11.528749112088502,-4.908812627085825,-4.733149640609713,0.9984320840169435,-7.6779397259540945,122728.1120232481,131292.07007419242,263474.1815989078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3916640536789309,0.4480855032520969,0.40910676630425435,0.3676691183043281,0.6888019688813984,0.7561371686632491,0.4177653838705188,0.4118259225406785,0.38896727811405707,0.5100708396655386,0.8249939591570341,0.4799767058323921,0.35141913471509134,0.34386318341676675,0.40326527159937964,0.24309270731040633,0.24309270731040633,0.24746368020822684,0.2612658159795217,0.23788386470698994,0.23595682417069272,0.2675416908993179,0.24309270731040633,0.24500786567851068,0.09286540503640776,0.02330624610185623,-2.26517925755609,0.6047987787592366,1.8692412953424493,-0.6426423112888255,-0.23305790609860183,-0.014351478163710995,-0.19723187395692418,0.15029848882898716,0.17909231364274564,-0.04966680890644967,-0.05951371892464996,0.02138771384607832,-0.10548608709765998,5,5,features_averaged_over_mid,Z01_Pos02_avgFeatures_00001_Ch2,mean,mean
Z01,Pos03,00000,Ch1,1,train,-656.7485541952,-24.370081357903963,-96.43477107803695,-2.577418161938839,38.376670168966534,-2.350625526438731,-11.152355851927188,2.3349768733847065,-4.562103582576934,-16.295756003206396,-3.4521166231199,11.742991648991232,-13.480866271626827,127824.4491792112,137771.38347811525,277041.1622591778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41376137526033113,0.47704422054283746,0.4358416078435807,0.3842278636688365,0.5914215754181982,0.7793483144190002,0.4299233323799406,0.40732809161294725,0.45441592867984354,0.5249110832492037,0.8655155535717108,0.5216198519931388,0.3725669784835254,0.36680292039287843,0.34578473235498447,0.2635062219451186,0.27076879696758743,0.27548488527892,0.2507288081108049,0.23006016227409223,0.23697057303593566,0.23697057303593566,0.22882428017989825,0.23697057303593566,0.08104615442961165,0.015806085616350173,-1.9026509797664395,0.49040069111017887,1.6851533187554906,-0.5411899033098306,-0.3048936986961891,-0.12472383619425649,-0.02441796380844016,0.1826211599266975,-0.01515384680624341,0.1481317993124817,-0.11034913022662433,-0.16136143771789022,0.19163030587319038,5,5,features_averaged_over_mid,Z01_Pos03_avgFeatures_00000_Ch1,mean,mean
Z01,Pos03,00000,Ch2,1,train,-635.0923277785989,-25.781071049994658,-99.64682209474174,3.306309996356954,36.58004983466471,-4.08270937953538,-4.527660178973788,-2.1538885588836334,-10.080656981433746,-6.740774404069652,-3.3082518320758547,6.714431557671865,-10.865609836363785,129580.88047285329,133757.54850535624,274652.1016042173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3697800882771784,0.422699173489664,0.38747140800964974,0.35289325902403557,0.7547809882705925,0.8889863986365698,0.37938316356939455,0.35781854707635785,0.3579645596472577,0.44234741717834003,0.6998291585901478,0.4392698292169386,0.3372713455787168,0.3665828974773438,0.34985594200663217,0.28247861589493733,0.2930596058799334,0.24490175990179583,0.25311052922958877,0.22900236421860623,0.22389795051710992,0.24171626559246318,0.24171626559246318,0.2556670721947931,0.10504209648058253,0.02147301584482193,-2.150636478086282,0.5906156673976605,1.805760190123267,-0.6187961466429714,-0.27291478416742787,-0.04290728675614765,-0.12545577096415475,0.13207783646031593,0.0905821214800414,-0.01818943642367816,0.02716399838547256,-0.03523876002379546,-0.07625615299185573,5,5,features_averaged_over_mid,Z01_Pos03_avgFeatures_00000_Ch2,mean,mean
Z01,Pos03,00001,Ch1,1,train,-654.5699576738192,-23.953680633720882,-95.46732742818874,-1.7110092727155315,38.87887953098587,-2.5775217894845364,-11.625985020271132,2.5426945268576007,-4.329058065774977,-16.75962493228274,-3.7104294874739367,11.610374645211179,-13.768551587425645,126280.21012897258,137853.31875547327,275858.9772223908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4417902421711638,0.5000747124232645,0.461050379531208,0.4177098828586163,0.6559081157480028,0.7631969400381898,0.4305507746966475,0.42813912624305256,0.48608443535540624,0.5673129338161296,0.9093820888720661,0.5240330761487467,0.4053903348617437,0.36080975778337765,0.338635378982961,0.23207392919683995,0.23207392919683995,0.30310747046695796,0.29458979313862177,0.23207392919683995,0.22563736898025316,0.23207392919683995,0.21517591705427855,0.23207392919683995,0.07265530188106796,0.01626077387481928,-1.8973870738518734,0.5115331976274303,1.6802850328863266,-0.5601835026664064,-0.3131375907849471,-0.1344788390968982,-0.01715652424715112,0.17414838725846526,-0.0012837613760022805,0.1472060224375318,-0.11889540661917579,-0.16150134600815122,0.19326909940213038,5,5,features_averaged_over_mid,Z01_Pos03_avgFeatures_00001_Ch1,mean,mean
Z01,Pos03,00001,Ch2,1,train,-631.915897433166,-25.529777400588806,-97.90935517756927,3.863614774061729,37.08739727464554,-4.700126491194582,-4.879007808600505,-2.0559074258487002,-9.830413730193685,-7.254497863064913,-3.6448379408072036,6.866752270054297,-10.684696204407166,128888.56605918644,134060.51747589186,274473.3417949788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391470413643283,0.4403462620015368,0.4138527333919219,0.38484496059276585,0.769822821963668,0.8579795634341545,0.3942381556253475,0.38280438721432053,0.3861851084810407,0.49608612379822237,0.7568238320416665,0.44444390223164554,0.38226600352224577,0.3466444166375894,0.31102621279215986,0.25436691387824284,0.24045939959599433,0.3000371912137366,0.2907363176041227,0.2434681943950599,0.23248065378473776,0.24193641113915562,0.24193641113915562,0.24380575730844845,0.09765625,0.022121840715408327,-2.143179643275981,0.595062927875059,1.8078282435621351,-0.6191295551718623,-0.2797829008132055,-0.055232877886269426,-0.14333792353873206,0.14025414501158853,0.10446295594621964,-0.002353332712469844,0.04033729818087216,-0.061025313933257365,-0.08968704685626212,5,5,features_averaged_over_mid,Z01_Pos03_avgFeatures_00001_Ch2,mean,mean
Z01,Pos04,00000,Ch1,1,train,-650.8894987297579,-28.46590872194364,-103.18860050357739,-1.7455764613351021,43.05739935314379,-1.1915228895048404,-13.942526663998924,-1.1229525177680755,-3.4932954579568873,-10.536743050780634,-3.680917448717185,3.7746647021737134,-12.280360942374633,125546.55529204728,137510.36663442902,274950.36382736656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463659200778057,0.5596138723203652,0.4683305766644711,0.38414725698347285,0.6036673305117869,0.6883429978859354,0.4446217918460989,0.4564657505802871,0.4731267766854554,0.5542571549430695,0.8123424486090027,0.49221646330562896,0.34845105507510066,0.38844501010527194,0.356185508468352,0.24078972299593757,0.24395246583303973,0.2773197468782992,0.2935141775127102,0.2383996480240484,0.24078972299593757,0.22832677634030563,0.23395010512526443,0.2387190604882138,0.08369709496359223,0.015017911605536938,-1.9342319686843652,0.5178358511787903,1.6646829146560953,-0.5962425731493581,-0.24056040818865934,-0.09679387073917414,-0.031107759763304155,0.20580531952896672,0.00222464217094199,0.07937906328657014,-0.13048482939431663,-0.08591771866724673,0.16360868926763766,5,5,features_averaged_over_mid,Z01_Pos04_avgFeatures_00000_Ch1,mean,mean
Z01,Pos04,00000,Ch2,1,train,-627.5061541855623,-28.282305809141626,-103.59394960784485,1.9449891061363744,39.1230720524851,-3.8105000341884065,-2.612042687780292,-2.3094866911394902,-13.26016614477146,-5.105688731698555,-2.0726435417898106,0.7450909176995679,-8.488016815180245,128112.62730234899,133984.31257914013,272145.51378185686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44867895528165835,0.5656836020229488,0.4608430038606645,0.35635845479178957,0.686572592598117,0.8555319584091265,0.4264028492746039,0.43772341014237226,0.38075337899594985,0.43875888683648256,0.693555267837686,0.4762191266476309,0.35369272997004947,0.3830726731575964,0.34735422856197923,0.2669644483192491,0.24134576626963775,0.27229734222526003,0.2523938611152197,0.26538316327375366,0.2422636111261455,0.2422636111261455,0.23148117264905377,0.23984348692435292,0.1074806583737864,0.01942581534385681,-2.1374746923851182,0.5605639220486913,1.8065928287083228,-0.6030296614252152,-0.2707209434048462,-0.039382751743784895,-0.14453307495506346,0.13294664724937402,0.1654168012294809,-0.03670983650365772,-0.027670578826699065,0.012295637319479141,-0.11549708319722145,5,5,features_averaged_over_mid,Z01_Pos04_avgFeatures_00000_Ch2,mean,mean
Z01,Pos04,00001,Ch1,1,train,-649.7842859640648,-28.083913841074178,-102.79411548539952,-1.558165637869436,43.54013367608117,-0.9449148595369955,-13.730646613816063,-1.3301886066094257,-3.675078104610037,-10.772296165483755,-4.284186559805453,3.635543662582939,-12.229400527420207,124064.6482634036,137676.25863819354,274090.1439718598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48916618477707435,0.5906955932696304,0.5143364156551671,0.42440487440615193,0.5905756343386284,0.7448550736376189,0.47943193495167175,0.4889393579862304,0.5094857866757535,0.5408867898936587,0.8326912590887497,0.560973391655721,0.37058487137767726,0.374370341907563,0.4058249656191397,0.23640675730871,0.23640675730871,0.2712175010585399,0.23640675730871,0.23640675730871,0.23640675730871,0.24000430979883772,0.23640675730871,0.23640675730871,0.07603060527912622,0.015154971182346344,-1.9195012477628937,0.543289822611032,1.6822582702098985,-0.6080676238283441,-0.26945619633763507,-0.12707169306849725,-0.04378552285780216,0.23796126241253196,0.01766452087149636,0.0731220900611141,-0.14251629866749255,-0.09591528699378668,0.16134442810341754,5,5,features_averaged_over_mid,Z01_Pos04_avgFeatures_00001_Ch1,mean,mean
Z01,Pos04,00001,Ch2,1,train,-625.701244115077,-26.552856656389594,-104.10448884778245,2.042969891009349,39.88459417004881,-3.3346746266295213,-2.8964008273581086,-2.6995807600226933,-13.139437480389287,-4.941676066205298,-2.2797613772721315,0.8392904232915864,-8.69729134418474,125657.60830296941,133772.61431041895,269563.8665920814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4617409901512871,0.5681386828779645,0.4770082800380422,0.38211383790979675,0.6788765463168824,0.8484003898739727,0.4468195742987202,0.45696266101117555,0.4049447245407093,0.4621560413434036,0.7167930414969671,0.5048065815882156,0.39729169631786443,0.31905620224753073,0.4166650823861181,0.24147948745416534,0.23997229023834202,0.26467678934239497,0.23997229023834202,0.23997229023834202,0.23997229023834202,0.23997229023834202,0.23773435652711697,0.2502184150703434,0.1011036104368932,0.01976642236113548,-2.0832260524256405,0.6026677693074939,1.7836496217458593,-0.6328535031368008,-0.26249532500026407,-0.03916995209898615,-0.1427750863510372,0.10718219567000671,0.12846029828651473,-0.03572934107655008,-0.001727006240626494,0.019575352024412872,-0.11930453210269727,5,5,features_averaged_over_mid,Z01_Pos04_avgFeatures_00001_Ch2,mean,mean
