hidden_layer_sizes,learning_rate_init,batch_size,alpha,n_iter,final_loss,dev_accuracy,dev_balanced_accuracy,dev_precision_damaged_0,dev_recall_damaged_0,dev_specificity_damaged_0,dev_npv_damaged_0,dev_f1_damaged_0,dev_precision_good_1,dev_recall_good_1,dev_f1_good_1,dev_matthews_corrcoef,dev_roc_auc_damaged_0
"(64,)",0.001,32,0.0001,123,0.003498253078409114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,32,0.001,123,0.0046601766566364425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,32,0.01,123,0.015590240736895852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,8,0.0001,36,0.0006191227967260909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,8,0.001,35,0.004461668149256903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,8,0.01,99,0.004794212590801964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,16,0.0001,39,0.00039240441661835674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,16,0.001,38,0.002870974297570527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,16,0.01,104,0.004550513472919625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,32,0.0001,42,0.00020687689463724763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,32,0.001,41,0.0016358064611494778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,32,0.01,84,0.008528207998102803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,8,0.0001,278,0.007222717838889273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,8,0.001,278,0.011306603601054113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,8,0.01,288,0.0482186003501605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,16,0.0001,370,0.011809743299291946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,16,0.001,370,0.01416562126629703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
